Date,Turtle,Loc_ID,Profile_ID,Size_ID,R_ID,Cap_ID,Pit_ID
6/24/1997,37.001,5,36,178,69,7,113937345A
7/15/2003,37.002,2,37,179,9,6,113937345A
7/31/2004,37.003,2,36,180,104,6,113937345A
9/21/1996,38.001,4,5,151,105,7,113938471A
6/25/1997,38.002,5,4,181,106,6,113938471A
7/31/2000,38.003,16,5,182,107,6,113938471A
7/31/2004,38.004,2,4,183,108,3,113938471A
8/14/2004,38.005,2,4,184,109,3,113938471A
7/22/2006,38.006,5,4,185,81,6,113938471A
6/23/2011,38.007,6,4,186,110,6,113938471A
7/5/2004,39.001,2,4,187,9,15,113938692A
8/3/2004,39.002,2,4,188,9,3,113938692A
9/14/1996,40.001,4,5,151,95,7,113965571A
6/19/1997,40.002,5,27,189,111,6,113965571A
9/16/2004,40.003,2,4,190,9,3,113965571A
7/19/2006,40.004,36,24,191,14,6,113965571A
9/21/1996,41.001,4,5,192,73,7,113966632A
6/13/1997,41.002,5,4,181,112,6,113966632A
6/14/1997,42.001,5,27,193,69,7,113967334A
7/15/2003,42.002,2,5,194,113,6,113967334A
7/17/2004,42.003,47,4,195,114,6,113967334A
9/16/2004,42.004,2,4,196,9,3,113967334A
7/27/2011,42.005,48,4,197,115,6,113967334A
5/21/2013,42.006,12,4,198,83,6,113967334A
8/25/2015,42.007,5,38,199,14,6,113967334A
6/22/2002,43.001,4,22,200,9,2,113967750A
9/15/2002,43.002,2,2,201,9,2,113967750A
9/22/2002,43.003,2,39,202,9,1,113967570A
10/13/2002,43.004,2,2,203,9,2,113967750A
8/7/2004,43.005,2,6,204,9,5,113967570A
8/24/2004,43.006,2,12,205,54,3,113967750A
9/1/2004,43.007,2,2,206,9,3,113967750A
9/16/2004,43.008,2,40,207,9,3,113967570A
10/7/2004,43.009,2,6,208,9,2,113967570A
7/19/2006,43.01,44,16,209,14,6,113967750A
8/5/2008,43.011,42,8,210,14,6,113967750A
5/18/2011,43.012,49,41,211,36,6,113967750A
5/24/2011,43.013,7,11,212,36,6,113967750A
8/3/2004,44.001,2,4,213,116,7,113968222A
9/26/2004,44.002,2,4,214,9,2,113968222A
9/14/1996,45.001,35,5,83,117,7,113968557A
6/20/1997,45.002,5,27,127,118,6,113968557A
7/30/2000,45.003,4,5,215,119,6,113968557A
7/24/2002,45.004,50,4,216,9,6,113968557A
5/10/2003,45.005,16,4,217,9,6,113968557A
7/15/2003,45.006,2,5,218,9,6,113968557A
8/24/2003,45.007,3,4,219,9,5,113968557A
7/19/2006,45.008,16,28,220,14,6,113968557A
7/21/2004,46.001,51,23,221,120,12,113969143A
7/26/2013,46.002,52,11,222,17,6,113969143A
7/20/2004,47.001,2,4,223,121,15,113969180A
8/14/2004,48.001,2,4,224,122,15,113969273A
6/13/1997,49.001,5,2,225,69,7,113969517A
6/27/2004,50.001,2,4,226,123,4,113969632A
7/10/2015,51.001,53,42,227,67,6,113973116A
6/21/1997,52.001,5,4,228,124,7,113976134A
8/15/2003,52.002,2,4,229,125,6,113976134A
7/22/2006,52.003,5,4,230,126,6,113976134A
7/22/2013,52.004,46,5,231,17,6,113976134A
7/17/2014,52.005,20,5,232,43,16,113976134A
7/22/2014,52.006,21,5,233,43,9,113976134A
7/14/2015,52.007,23,20,234,127,6,113976134A
7/12/1997,53.001,5,43,235,128,7,113976335A
6/25/1997,54.001,5,4,236,69,7,114409227A
6/30/1997,54.002,5,4,236,69,6,114409227A
9/16/2004,54.003,2,4,237,129,2,114409227A
8/14/2004,55.001,2,4,238,9,7,114411137A
9/14/1996,56.001,4,11,239,130,7,114414485A
8/3/1997,56.002,5,2,240,69,6,114414485A
6/3/2002,56.003,16,11,241,54,6,114414485A
5/21/2013,56.004,12,8,242,83,6,114414485A
8/27/2015,56.005,5,8,243,14,6,114414485A
6/14/1997,57.001,5,2,244,69,7,114417466A
7/5/2004,58.001,2,13,245,131,7,114421513A
7/18/2006,58.002,10,16,246,14,6,114421513A
7/29/2010,58.003,13,13,247,14,6,114421513A
6/14/2011,58.004,6,32,248,34,6,114421513A
6/22/2011,58.005,6,21,249,35,6,114421513A
7/13/2011,58.006,15,2,250,36,6,114421513A
5/21/2013,58.007,36,8,251,83,6,114421513A
7/22/2013,58.008,46,11,252,17,6,1144215134A
7/8/2015,58.009,5,11,253,101,6,114421513A
6/13/1997,59.001,5,4,254,69,7,114459123A
9/28/2002,60.001,2,44,255,9,1,114463132A
7/27/2004,60.002,2,10,256,132,2,114463132A
6/14/1997,61.001,5,4,257,69,7,114463271A
7/30/2000,61.002,16,5,258,133,6,114463271A
7/31/2000,61.003,50,5,258,133,6,114463271A
6/16/1997,62.001,5,4,259,134,7,114465332A
8/15/2002,62.002,2,5,260,135,2,114465332A
8/28/2014,62.003,5,24,261,103,6,114465332A
6/25/2004,63.001,2,40,262,136,4,114465343A
7/9/2004,63.002,2,4,263,137,5,114465343A
8/14/2004,63.003,2,45,264,9,6,114465343A
7/22/2006,63.004,5,26,265,81,6,114465343A
5/25/2010,63.005,18,4,266,138,6,114465343A
7/24/2004,64.001,2,46,267,9,1,114472174A
7/19/2006,64.002,4,16,268,14,6,114472174A
6/10/2011,64.003,14,3,269,33,6,114472174A
6/21/2004,65.001,2,26,270,9,7,114472331A
8/3/2004,65.002,2,4,271,139,6,114472331A
7/18/2006,65.003,10,24,272,14,6,114472331A
7/22/2006,65.004,5,7,273,10,6,114472331A
8/5/2008,65.005,42,24,274,14,6,114472531A
6/15/2010,65.006,12,4,275,27,6,114472331A
6/22/2010,65.007,12,4,276,28,6,114472331A
7/14/2010,65.008,12,4,277,32,6,114472331A
7/29/2010,65.009,13,4,278,32,6,114472331A
8/3/2010,65.01,12,4,279,36,6,114472331A
5/18/2011,65.011,49,47,280,36,6,114472331A
6/10/2011,65.012,14,4,281,33,6,114472331A
6/14/2011,65.013,14,4,282,34,6,114472331A
6/15/2011,65.014,14,47,282,34,6,114472331A
6/17/2011,65.015,6,5,283,34,6,114472331A
6/22/2011,65.016,14,7,284,35,6,114472331A
7/27/2011,65.017,14,4,285,115,6,114472331A
5/1/2013,65.018,14,4,286,140,6,114472331A
8/28/2013,65.019,43,5,287,84,6,114472331A
6/5/2002,66.001,4,5,288,141,7,114472630A
9/22/2002,66.002,2,4,289,142,2,114472630A
8/14/2004,66.003,2,4,290,9,6,114472630A
7/22/2014,66.004,21,5,291,43,11,114472630A
6/30/1997,67.001,5,48,292,69,7,114472710A
7/31/2000,67.002,50,5,293,133,6,114472710A
7/9/2004,68.001,2,4,294,70,1,114473151A
8/3/2004,68.002,2,4,295,9,5,114473151A
6/15/1997,69.001,5,4,296,69,7,114514216A
7/1/1997,70.001,5,2,297,69,7,114979762A
6/9/2001,70.002,4,11,298,9,6,114979762A
7/24/2002,70.003,16,2,299,9,6,114979762A
9/7/2002,70.004,2,2,300,143,2,114979762A
9/15/2002,70.005,2,2,301,9,2,114979762A
10/13/2002,70.006,2,2,302,9,2,114979762A
7/16/2004,71.001,2,4,303,9,15,115109111A
8/24/2004,71.002,2,49,304,144,2,115109111A
7/8/2015,71.003,5,5,305,91,6,115109111A
7/11/1997,72.001,39,23,306,69,12,115109154A
7/7/2010,72.002,25,2,307,145,6,115109154A
6/2/2011,72.003,54,17,308,146,6,115109154A
7/22/2014,73.001,21,11,309,43,9,1151093093A
7/17/2004,74.001,47,2,310,147,7,115109371A
6/23/2010,74.002,12,2,311,29,6,115109371A
8/3/2010,74.003,5,2,312,148,6,115109371A
6/10/2011,74.004,14,2,313,33,6,115109371A
6/15/2011,74.005,6,2,314,149,6,115109371A
8/29/2013,74.006,55,11,315,84,6,115109371A
7/17/2014,74.007,20,11,316,43,17,115109371A
7/25/2014,74.008,21,9,317,43,18,115109371A
8/26/2014,74.009,5,8,318,150,6,115109371A
6/15/1997,75.001,5,13,319,151,7,115109393A
6/24/2000,75.002,50,11,320,9,6,115109393A
7/21/2002,75.003,4,2,321,152,2,115109393A
5/10/2003,75.004,16,2,322,153,6,115109393A
7/11/2004,75.005,2,2,323,154,5,115109393A
9/16/2004,75.006,2,2,324,9,2,115109393A
7/19/2006,75.007,36,24,325,14,6,115109393A
8/5/2008,75.008,30,8,326,14,6,115109393A
5/25/2010,75.009,7,9,327,15,6,115109393A
6/22/2010,75.01,7,2,328,155,6,115109393A
6/23/2010,75.011,7,2,329,156,6,115109393A
6/26/2010,75.012,7,2,330,82,6,115109393A
7/7/2010,75.013,12,2,331,157,6,115109393A
7/14/2010,75.014,7,2,332,36,6,115109393A
6/10/2011,75.015,6,2,333,41,6,115109393A
6/15/2011,75.016,6,2,334,34,6,115109393A
7/17/2014,75.017,56,11,335,43,19,115109393A
7/15/2015,75.018,5,22,336,158,6,115109393A
7/22/2013,76.001,46,11,337,17,6,1151109371A
6/9/2002,77.001,5,2,338,159,7,115111337A
7/24/2002,77.002,4,2,339,160,6,115111337A
8/15/2002,77.003,16,2,340,161,6,115111337A
5/4/2003,77.004,50,2,341,162,6,115111337A
5/15/2004,77.005,54,23,342,163,20,115111337A
6/13/2004,77.006,51,23,343,164,20,115111337A
6/18/2004,77.007,51,23,344,165,3,115111337A
6/21/2004,77.008,51,23,345,164,20,115111337A
7/5/2004,77.009,51,23,346,164,20,115111337A
9/16/2004,77.01,51,23,347,166,20,115111337A
9/26/2004,77.011,51,23,348,167,20,115111337A
8/30/2003,78.001,2,45,349,79,7,115112144A
9/14/2003,78.002,2,29,350,168,6,115112144A
6/21/2004,78.003,2,26,351,9,5,115112144A
6/27/2004,78.004,2,25,352,169,3,115112144A
7/7/2004,78.005,2,50,353,9,3,115112144A
7/17/2004,78.006,17,25,354,170,6,115112144A
9/16/2004,78.007,2,27,355,9,2,115112144A
7/18/2006,78.008,10,28,356,14,6,115112144A
7/22/2006,78.009,5,25,357,10,6,115112144A
8/29/2006,78.01,5,5,358,11,6,115112144A
7/15/2008,78.011,45,24,359,14,6,115112144A
8/5/2008,78.012,7,24,360,14,6,115112144A
5/25/2010,78.013,7,9,361,15,6,115112144A
6/15/2010,78.014,12,7,362,27,6,115112144A
6/22/2010,78.015,12,4,363,171,6,115112144A
7/14/2010,78.016,18,2,51,40,6,115112144A
7/29/2010,78.017,13,27,364,14,6,115112144A
6/15/2011,78.018,6,26,365,34,6,115112144A
6/19/1997,79.001,5,4,366,172,7,115112246A
9/6/2001,79.002,5,5,367,173,6,115112246A
9/15/2002,79.003,2,4,368,174,2,115112246A
6/27/2004,79.004,2,4,369,123,5,115112246A
7/5/2004,79.005,2,4,370,175,6,115112246A
7/27/2004,79.006,2,4,371,176,3,115112246A
7/31/2004,79.007,2,4,372,177,6,115112246A
8/3/2004,79.008,2,4,373,9,3,115112246A
8/14/2004,79.009,2,4,374,9,3,115112246A
9/1/2004,79.01,2,4,375,178,2,115112246A
9/16/2004,79.011,2,4,376,9,3,115112246A
9/26/2004,79.012,2,4,377,9,2,115112246A
10/7/2004,79.013,2,4,378,9,2,115112246A
7/10/2002,80.001,50,26,379,9,7,115112656A
5/4/2003,80.002,50,26,380,9,6,115112656A
6/7/1997,81.001,57,44,381,179,21,115113355A
9/6/2003,81.002,58,51,382,180,20,115113355A
9/21/2003,81.003,58,23,383,181,20,115113355A
9/28/2003,81.004,58,23,384,182,20,115113355A
7/11/2004,81.005,58,23,385,183,20,115113355A
7/27/2004,81.006,58,3,386,184,20,115113355A
7/31/2004,81.007,58,23,387,185,20,115113355A
8/3/2004,81.008,58,23,388,186,20,115113355A
8/28/2013,81.009,43,11,389,84,6,115113355A
7/17/2014,81.01,20,11,390,43,19,115113355A
7/18/2014,81.011,29,9,83,43,22,115113355A
7/8/2015,81.012,5,11,391,101,6,115113355A
7/9/2015,81.013,23,11,392,187,6,115113355A
7/16/2015,81.014,24,11,393,188,6,115113355A
8/25/2015,81.015,5,8,394,189,6,115113355A
8/26/2015,81.016,5,8,395,190,6,115113355A
6/28/1998,82.001,5,5,396,191,6,115114690A
6/6/2002,82.002,50,5,397,192,6,115114690A
4/26/2003,82.003,4,5,398,193,6,115114690A
8/24/2003,82.004,3,4,399,194,5,115114690A
6/13/2004,82.005,2,4,400,9,6,115114690A
7/11/2004,82.006,2,4,401,9,6,115114690A
8/7/2004,82.007,2,4,402,9,5,115114690A
7/10/2002,83.001,16,2,403,195,7,115115246A
9/28/2002,84.001,2,48,404,9,1,115115544A
9/29/2002,84.002,2,5,405,52,2,115115544A
6/27/2004,84.003,2,26,406,196,2,115115544A
7/20/2004,84.004,2,27,407,9,3,115115544A
7/24/2004,84.005,2,40,408,9,3,115115544A
7/27/2004,84.006,2,6,409,9,3,115115544A
9/16/2004,84.007,2,45,410,9,3,115115544A
7/18/2006,84.008,44,8,411,14,6,115115544A
6/15/2010,84.009,7,4,412,27,6,115115544A
8/26/2015,84.01,5,8,413,197,6,115115544A
7/22/2014,85.001,56,5,414,43,9,1151155461A
6/15/1997,86.001,5,25,415,69,7,115116120A
6/28/1998,86.002,5,5,416,198,6,115116120A
8/2/2000,86.003,16,5,417,199,6,115116120A
5/4/2003,86.004,50,4,418,9,6,115116120A
5/10/2003,86.005,16,4,419,200,6,115116120A
6/21/2004,86.006,2,40,420,201,6,115116120A
7/17/2004,86.007,17,4,421,202,6,115116120A
7/19/2006,86.008,44,8,422,14,6,115116120A
5/25/2010,86.009,18,4,423,15,6,115116120A
6/15/2010,86.01,12,4,424,203,6,115116120A
7/29/2010,86.011,13,4,425,14,6,115116120A
6/23/2011,86.012,6,4,426,49,6,115116120A
7/13/2011,86.013,15,4,427,36,6,115116120A
7/27/2011,86.014,14,4,428,115,6,115116120A
8/14/2004,87.001,2,4,429,9,15,115116453A
9/16/2004,88.001,2,40,430,9,15,115117543A
6/2/1996,89.001,35,5,431,204,7,115118335A
7/24/2002,89.002,16,4,432,9,6,115118335A
9/2/2003,89.003,2,4,433,205,6,115118335A
9/1/2004,89.004,2,4,434,9,3,115118335A
6/16/1997,90.001,5,52,435,69,7,115118357A
6/21/1997,91.001,5,4,436,69,7,115118443A
